requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,peak_vram_gb,mean_output_tokens,mean_tokens_per_sec
phi_4_mini_reasoning,phi_4_mini_reasoning,math_l1_l3,few_shot_cot,238,93,0.3907563025210084,0.3309722369462509,0.454010991745587,16.543172464416433,7.145148277282715,,61.89981208691632
phi_4_reasoning,phi_4_reasoning,math_l1_l3,few_shot_cot,238,7,0.029411764705882353,0.014318466405798428,0.059455441805195866,19.38865317402705,27.305460929870605,,52.226404998946464
qwen3_30b_a3b,qwen3_30b_a3b,math_l1_l3,few_shot_cot,238,146,0.6134453781512605,0.5502429407868402,0.6730437063408666,24.78590981945583,57.62053298950195,,24.932238402895724
qwen3_8b,qwen3_8b,math_l1_l3,few_shot_cot,238,152,0.6386554621848739,0.5758670184904403,0.6970388835545344,11.51469215149639,15.256451606750488,,49.10775088051324
gemma_4_26b_a4b,gemma_4_26b_a4b,math_l1_l3,zero_shot,238,165,0.6932773109243697,0.6320072584707848,0.7484070292282712,14.125117558375502,48.06737232208252,,21.89264393555581
gemma_4_e2b,gemma_4_e2b,math_l1_l3,zero_shot,238,147,0.6176470588235294,0.5545016080048943,0.677054914942357,11.851079251038051,9.543148517608644,,31.726624207236004
gemma_4_e4b,gemma_4_e4b,math_l1_l3,zero_shot,238,150,0.6302521008403361,0.5673063119868309,0.6890598384190545,11.952457411731242,14.89453125,,26.05092794256443
phi_4_mini_reasoning,phi_4_mini_reasoning,math_l1_l3,zero_shot,238,60,0.25210084033613445,0.20117047756001621,0.3109068490868468,16.28913109436506,7.145148277282715,,62.86869691548977
phi_4_reasoning,phi_4_reasoning,math_l1_l3,zero_shot,238,9,0.037815126050420166,0.0200197954050187,0.07029386444506497,19.265060884533685,27.305460929870605,,52.0587168759096
qwen3_30b_a3b,qwen3_30b_a3b,math_l1_l3,zero_shot,238,139,0.5840336134453782,0.520563393892939,0.6448341224979548,27.391505230030344,57.62053298950195,,24.533790078943998
