dataset,strategy,requested_model_a,requested_model_b,n_overlap,acc_a,acc_b,n01_a0_b1,n10_a1_b0,mcnemar_stat,p_value
truthfulqa_mc1,cot,gemma_4_26b_a4b,qwen3_8b,500,0.75,0.99,123,3,112.38888888888889,7.84059433975869e-33
truthfulqa_mc1,cot,gemma_4_e2b,gemma_4_e4b,500,0.562,0.628,91,58,6.87248322147651,0.00853115461460051
truthfulqa_mc1,cot,gemma_4_e2b,phi_4_mini_reasoning,500,0.562,0.984,215,4,201.36986301369862,2.254980983106865e-58
truthfulqa_mc1,cot,gemma_4_e2b,qwen3_30b_a3b,500,0.562,0.984,214,3,203.2258064516129,1.6173173833881445e-59
truthfulqa_mc1,cot,gemma_4_e2b,qwen3_8b,500,0.562,0.99,217,3,206.22272727272727,2.1066522386411906e-60
truthfulqa_mc1,cot,gemma_4_e4b,phi_4_mini_reasoning,500,0.628,0.984,183,5,166.64361702127658,9.718693602827511e-48
truthfulqa_mc1,cot,gemma_4_e4b,qwen3_30b_a3b,500,0.628,0.984,182,4,168.43548387096774,1.0063214843865956e-48
truthfulqa_mc1,cot,gemma_4_e4b,qwen3_8b,500,0.628,0.99,183,2,175.13513513513513,7.017149292273913e-52
truthfulqa_mc1,cot,phi_4_mini_reasoning,qwen3_30b_a3b,500,0.984,0.984,7,7,0.07142857142857142,1.0
truthfulqa_mc1,cot,phi_4_mini_reasoning,qwen3_8b,500,0.984,0.99,7,4,0.36363636363636365,0.548828125
truthfulqa_mc1,cot,qwen3_30b_a3b,qwen3_8b,500,0.984,0.99,6,3,0.4444444444444444,0.5078125
truthfulqa_mc1,few_shot_cot,gemma_4_26b_a4b,gemma_4_e2b,500,0.82,0.518,19,170,119.04761904761905,1.6534283815719988e-31
truthfulqa_mc1,few_shot_cot,gemma_4_26b_a4b,gemma_4_e4b,500,0.82,0.742,28,67,15.2,7.804247056315926e-05
truthfulqa_mc1,few_shot_cot,gemma_4_26b_a4b,phi_4_mini_reasoning,500,0.82,0.966,85,12,53.44329896907217,1.0431765969668068e-14
truthfulqa_mc1,few_shot_cot,gemma_4_26b_a4b,qwen3_30b_a3b,500,0.82,0.982,85,4,71.91011235955057,8.269208261418977e-21
truthfulqa_mc1,few_shot_cot,gemma_4_26b_a4b,qwen3_8b,500,0.82,0.986,88,5,72.3010752688172,1.1112241759254372e-20
truthfulqa_mc1,few_shot_cot,gemma_4_e2b,gemma_4_e4b,500,0.518,0.742,128,16,85.5625,7.03340962290385e-23
truthfulqa_mc1,few_shot_cot,gemma_4_e2b,phi_4_mini_reasoning,500,0.518,0.966,234,10,203.80737704918033,1.263246226978513e-56
truthfulqa_mc1,few_shot_cot,gemma_4_e2b,qwen3_30b_a3b,500,0.518,0.982,236,4,222.3375,1.5520816004207844e-64
truthfulqa_mc1,few_shot_cot,gemma_4_e2b,qwen3_8b,500,0.518,0.986,237,3,226.20416666666668,2.6082630986389487e-66
